route_id,guid,geom,x,y,dist_center,dist_bike_parking,n_bike_parking,highway_class,dist_est_biciq,n_est_biciq,dist_ciclovia,n_intersect,dist_intersect,n_busstops,dist_busstop,n_accidents,dist_accident,n_deadly_accidents,dist_deadly_accident,dist_brt_corr,n_zebra_crossings,dist_zebra_crossings,n_speedbumps,dist_speedbumps,n_traffic_signals,dist_traffic_signals,frac_green_areas,dist_green_area,n_parking,dist_parking,dist_oneway,n_shopss,dist_shop,land_use,n_education,dist_education,slope,elevation
C09-RO01,7548,010100002031BF0D0075381C54799E53C0207F99894EC8C5BF,-78.4761553073493,-0.17017537802439,6839.41772243,820.801375576,0,primary,870.796796034,0,718.200268806,2,21.21294447,2,13.084246355,0,1061.109605893,0,346.755037353,7.041500021,2,45.946987986,0,325.984113552,0,398.301779545,0,239.847820169,0,893.953544264,0.320920327,0,129.272272938,res.medio consum,0,216.264164919,89.9813537597656,2781.71435546875
C27-RO05,7549,010100002031BF0D000BCC0A33799E53C0C9E0564714CCC5BF,-78.4761474233093,-0.170290503343273,6829.548728797,833.632605563,0,primary,859.645994185,0,720.04016699,2,11.249486146,2,22.03097725,0,1072.049998955,0,337.316137308,6.846995856,0,58.706710335,0,332.943559117,0,399.32939016,0,235.870041931,0,897.219409303,0.333164149,0,116.613850694,res.medio consum,0,213.701061297,89.9813537597656,2781.71435546875
C27-RO02,7550,010100002031BF0D00F8D54D33799E53C0A6555B0224A5C5BF,-78.476147485744,-0.169102193022508,6937.09039227,701.912359562,0,primary,980.164512825,0,721.026125503,1,32.2076302,0,102.051971085,0,967.134465162,0,335.847330669,7.111225013,5,10.080077488,0,272.971648045,0,417.11172142,0,241.399863261,0,881.077299152,0.005451922,0,96.789123407,res.bajo consumo,0,262.601383397,89.974494934082,2783.12329101562
C09-RO01,7551,010100002031BF0D0027899212799E53C028E71F5DD1ACC5BF,-78.4761396819127,-0.169336481543547,6916.320911504,727.943160822,0,primary,956.501208348,0,719.776954235,1,21.805525821,0,76.195354272,0,987.845661622,0,343.579570833,12.65133796,6,4.585641725,0,280.10454551,0,411.155125209,0,241.312525019,0,883.582952896,0.003658886,0,116.766520336,res.medio consum,0,247.459360786,89.978515625,2782.65063476562
C10-RO01,7552,010100002031BF0D00CF74BFC0789E53C04EA64AC2178CC5BF,-78.4761201734247,-0.168337793225236,7008.449218188,617.580425523,0,primary,946.113383736,0,721.297979924,0,112.098766049,0,187.065593297,0,905.513574689,0,318.332269116,1.346025364,0,93.096827775,0,260.769814134,0,451.900705506,0,187.287025204,0,884.109775535,0.357281493,0,64.247340622,industria,0,317.984082785,89.9769439697266,2782.8359375
C25-RO01,7553,010100002031BF0D00B4A4CB74789E53C0DA86BBD00857B7BF,-78.4761020649628,-0.0911717900849242,14882.687741723,2877.02197339,0,primary,8069.446999653,0,8044.6990346,4,26.726614025,0,252.400764488,0,1631.173103149,0,168.957719708,16.007459642,3,4.790093568,0,390.645706599,0,563.09818944,0,409.344412507,0,158.565082462,0.038168093,0,66.230339535,res.medio consum,0,193.355358437,89.9910736083984,2765.0859375
C09-RO04,7554,010100002031BF0D00126A2010789E53C0713A5395F699C5BF,-78.4760780636355,-0.168761084473278,6972.550934048,664.88031381,0,primary,971.73304714,0,733.400515271,0,68.687754264,0,140.541644142,0,943.397300338,0,319.161000447,7.484096345,1,47.732686023,0,257.922838178,0,436.834031539,0,219.730839098,0,887.782420177,0.014795118,0,66.805570402,res.bajo consumo,0,280.842983779,89.9745330810547,2783.0283203125
C16-RO03,7555,010100002031BF0D00001D64FC779E53C08CE9924C15ADC5BF,-78.4760733583134,-0.169344580068195,6919.854309829,729.498864363,0,primary,958.606839951,0,727.081518569,1,29.227873603,0,76.4986952,0,993.185001179,0,337.050945721,20.049237971,5,10.478566797,0,273.525673817,0,418.130447925,0,248.390805771,0,891.005477902,0.005107831,0,113.611220069,res.medio consum,0,240.70327308,89.978515625,2782.65063476562
C18-RO05,7556,010100002031BF0D00872CB58B779E53C0DB5F098E733CC3BF,-78.4760464925076,-0.150282329896753,8735.963966518,1395.226899522,0,primary,1789.467588909,0,1771.930786947,0,56.079847333,0,56.079759727,0,577.414848834,0,455.14099305,13.577256338,0,81.583149321,0,168.596083929,0,469.36842747,0,170.312410947,0,1797.613109011,0.378824403,0,463.121243836,res.medio consum,0,217.24002714,89.9761352539062,2799.98583984375
C27-RO05,7557,010100002031BF0D00A07ED634779E53C0BB101B9D8B91C5BF,-78.4760257811236,-0.168504192077426,6999.2793475,637.122562792,0,primary,963.71629681,0,734.92760064,0,97.30401453,0,169.593975414,0,926.18710886,0,309.20962564,7.764909805,0,76.784693944,0,249.97090007,0,453.305417262,0,206.508930773,0,893.90600097,0.030043559,0,52.41157103,res.bajo consumo,0,297.181249687,89.9769439697266,2782.8359375
C09-RO02,7558,010100002031BF0D006E5694E6769E53C04C2A006806AAC5BF,-78.4760071228609,-0.169251251966062,6932.579822529,719.909895057,0,primary,971.070281585,0,735.13503994,1,37.346277895,0,88.331615638,0,989.859065801,0,326.425620089,25.583434014,4,17.311767293,0,263.014400536,0,427.725028981,0,257.671061603,0,897.605496154,0.012686314,0,100.939251251,res.medio consum,0,240.27312541,89.974494934082,2783.12329101562
C01-RO03,7559,010100002031BF0D00CAC947BA769E53C0E919CDC693E5C5BF,-78.4759965611512,-0.171068641730201,6769.534807392,921.206879497,0,secondary,790.956627064,0,748.694516149,4,30.339484626,0,108.494033228,0,1152.967718343,0,271.370788102,27.404518921,0,146.827514749,0,279.454421707,0,427.254843259,0,162.540424033,0,934.087141362,0.01662955,1,28.925241917,sin dato,0,206.125698814,89.987190246582,2781.5185546875
C27-RO04,7560,010100002031BF0D004AC7276E769E53C04D46C524EB89C5BF,-78.4759784115278,-0.168271439508816,7023.512769313,612.085010097,0,primary,957.161735103,0,735.491257179,0,123.447396144,0,195.941543003,0,911.118907004,0,302.345039133,8.019335746,0,103.154840844,0,245.547770853,0,469.294535648,0,196.842757098,0,900.233584299,0.043859262,0,51.572223628,res.bajo consumo,0,313.593142101,89.9769439697266,2782.8359375
C18-RO05,7561,010100002031BF0D00A6EF027D769E53C0D85E1ED96575C5BF,-78.4759819534944,-0.167645197882613,7080.517709929,543.055155641,0,primary,929.386813184,0,722.675842915,0,180.363457767,0,210.905552884,0,862.44291834,0,309.272231036,1.647466295,0,171.444474491,0,261.246771445,0,464.576973215,0,172.405270498,0,906.370020203,0.676759015,0,102.56013329,industria,0,371.055018616,89.9811019897461,2782.47314453125
C27-RO04,7562,010100002031BF0D00EF26DA2D769E53C0655015AD476FC7BF,-78.4759630804435,-0.183083495629606,5751.481246908,382.664589221,0,primary,707.140034471,0,666.853387393,2,17.307527779,0,360.829734435,0,1543.956482147,0,822.378561316,314.37756144,0,132.807041255,0,79.365981997,0,149.084118549,0,115.814564515,0,642.282963005,0.416277345,0,258.804291797,res.alto consumo,0,266.578687428,89.996955871582,2807.884765625
C27-RO02,7563,010100002031BF0D00A4DEDF3F769E53C0D43057562488C5BF,-78.4759673773029,-0.168217222364894,7029.159931175,606.269531549,0,primary,955.733282243,0,735.622554769,0,129.552827822,0,202.081314901,0,907.683376502,0,301.056422438,8.078601481,0,109.300342879,0,244.915304288,0,473.153162605,0,195.03263002,0,901.812232495,0.047077495,0,53.288878537,res.bajo consumo,0,317.609778557,89.9769439697266,2782.8359375
C26-RO05,7564,010100002031BF0D00AC4604E6759E53C02C9A47966279C7BF,-78.4759459535368,-0.183391879442938,5728.34115841,379.305145981,0,primary,718.648859171,0,666.61352005,0,50.777286268,0,367.254244208,0,1567.184642917,0,789.111974618,321.205120709,0,164.220602362,0,64.074090335,0,180.5759879,0,132.359900203,0,652.674932553,0.400743456,0,275.013906837,res.medio consum,0,262.592881885,89.9972457885742,2809.81274414062
C10-RO01,7565,010100002031BF0D0095752FDC759E53C08B4B4F1B1A6FC5BF,-78.4759436095686,-0.167453063330495,7100.534694464,522.588879171,0,primary,925.874029666,0,723.058079403,0,190.808571352,0,189.147380768,0,851.392470627,0,310.25376762,1.631752895,0,193.205584991,0,265.526709765,0,442.796670356,0,172.303599784,0,913.645880658,0.962432484,0,120.320293335,industria,0,387.313462729,89.9811019897461,2782.47314453125
C27-RO09,7566,010100002031BF0D0064B13A6D759E53C00948C6F7966AC7BF,-78.4759171555684,-0.182940360053692,5766.438984317,391.078126017,0,primary,708.122568403,0,661.297307233,2,0.725015343,0,356.223935695,0,1538.011689106,0,838.97568483,317.059437984,0,116.186689487,0,75.597798395,0,132.442161636,0,105.233284388,0,643.899639135,0.425077378,0,258.208472609,res.alto consumo,0,275.636222576,89.996955871582,2807.884765625
C27-RO06,7567,010100002031BF0D00D3AE6264759E53C0BFA1C619606AC7BF,-78.4759150470448,-0.182933819375888,5767.123491455,391.476395896,0,unclassified,708.177935012,0,661.04231185,2,0.459669996,0,356.031731508,0,1537.744698266,0,839.734425734,317.183082798,0,115.427408544,0,75.508480819,0,131.681697282,0,104.786892887,0,643.984867979,0.424403384,0,258.208121046,res.alto consumo,0,276.068253999,89.9967575073242,2807.29638671875
C22-RO05,7568,010100002031BF0D00FB2D254E759E53C0CA2D3CF7CB75C7BF,-78.4759097445566,-0.183282371254206,5739.84233595,384.803103939,0,primary,718.897755731,0,661.805158491,1,38.459882179,0,375.531632919,0,1562.519812941,0,801.848817109,323.495404931,0,151.395530081,0,69.271566554,0,167.750962699,0,121.801210683,0,653.341999043,0.336411966,0,273.103175988,res.medio consum,0,268.151440414,89.996955871582,2807.884765625
C27-RO05,7569,010100002031BF0D009C96915B759E53C0EF72347AE8E2C5BF,-78.4759129449616,-0.170987186117507,6782.342281853,913.0168462,0,secondary,803.444100621,0,756.255165496,4,19.385612844,0,102.967620594,0,1150.603564594,0,268.496734599,33.977230184,0,139.991758515,0,278.115802819,0,434.374587125,0,175.100243073,0,940.549382353,0.017086657,1,35.807995793,sin dato,0,194.545026784,89.987190246582,2781.5185546875
C09-RO04,7570,010100002031BF0D0079ED221C759E53C02165EB66F17CC5BF,-78.4758978215304,-0.167875457051914,7064.777021832,569.773718352,0,primary,947.599150158,0,736.450207539,0,155.148786713,0,235.194963438,0,886.703510527,0,295.763701601,8.452191438,0,148.052304062,0,244.480511448,0,487.762015737,0,187.745190164,0,912.65573216,0.067364227,0,75.611092386,res.bajo consumo,0,344.383913971,89.9792556762695,2782.63671875
