guid,geom,x,y,is_experience,image_name,route_id,dist_center,dist_bike_parking,n_bike_parking,highway_class,dist_est_biciq,n_est_biciq,dist_ciclovia,n_intersect,dist_intersect,n_busstops,dist_busstop,n_accidents,dist_accident,n_deadly_accidents,dist_deadly_accident,dist_brt_corr,n_zebra_crossings,dist_zebra_crossings,n_speedbumps,dist_speedbumps,n_traffic_signals,dist_traffic_signals,frac_green_areas,dist_green_area,n_parking,dist_parking,dist_oneway,n_shopss,dist_shop,land_use,n_education,dist_education,slope,elevation,pos_neg,tags
1597,0101000020E610000037E1231D9A9F53C0DEC7266A3CA3C6BF,-78.4937813616169,-0.176856567222386,f,,C18-RO03,5220.531145205,189.610300399,0,primary,330.644856852,0,290.015300194,2,14.654464319,0,213.759162575,0,827.795364653,1,20.933028627,11.02234334,1,16.919169134,0,319.304235267,2,14.654464319,0,319.299071767,0,782.795242231,6.433385405,0,329.642481677,res.medio consum,0,194.297257413,89.9926223754883,2825.521484375,,
1598,0101000020E610000012F2490E9A9F53C040B477063562C1BF,-78.4937778207898,-0.135809543760304,f,,C15-RO01,9589.640565165,45.554135253,1,primary,3161.20454267,0,3079.065683998,2,20.915628716,0,61.439115577,0,1475.582098952,0,720.823786139,6.784988153,10,13.465224788,0,268.971828692,2,2.648175727,0,363.453789553,0,937.731608585,0.085230996,0,521.696152527,res.medio consum,0,382.198286378,89.9841918945312,2818.56005859375,,
1599,0101000020E61000007D88F0019A9F53C0774CF5D00615C0BF,-78.493774876495,-0.125641681700106,f,,C11-RO01,10697.178357995,95.6263728,0,primary,4258.047993022,0,4187.076740616,0,103.52519448,0,148.588602837,0,971.719943263,0,384.529853869,10.244736598,0,274.486033497,0,199.189891712,0,409.575619444,0,52.013309832,0,1463.2373047,0.222299163,0,565.500265287,res.medio consum,0,127.48580966,89.9831466674805,2802.068359375,,
1600,0101000020E6100000D8027BAA999F53C000D75456443CC1BF,-78.4937540246277,-0.134651701120383,f,,C11-RO01,9716.038450012,42.325953197,1,primary,3284.245312114,0,3203.861754964,1,25.718017852,1,25.718097492,0,1499.22089717,0,592.365842935,11.189041408,4,6.914365754,0,239.242346485,0,127.913498253,0,267.307968992,0,1058.413274192,0.481910358,0,516.749628245,res.medio consum,0,473.119029573,89.9796295166016,2817.982421875,,
1601,0101000020E610000092C820BA999F53C0B97853BBE7EEBFBF,-78.493757755294,-0.124739154085065,f,,C11-RO01,10796.071902057,7.886335403,1,primary,4355.859542567,0,4285.686033782,0,66.09995738,1,48.621833792,0,915.413420576,0,344.97960025,9.634679169,0,174.138938785,0,196.564450572,0,509.949202907,0.113900389813123,18.308587438,0,1407.585341384,0.377499972,0,471.510667719,comercial,0,179.995717034,89.9777374267578,2799.9794921875,,
1602,0101000020E6100000BF1E9263999F53C00392916A96EAC9BF,-78.4937371184305,-0.20247154429957,f,,C13-RO03,2829.805901531,56.131088973,0,residential,152.177049169,0,6.405994864,0,102.336518109,1,14.693126718,0,858.49309141,0,406.393136378,392.324515766,1,27.977047851,0,173.198209433,0,204.107476145,0.127141501087216,15.35140426,0,175.527253647,0.012376957,0,95.930272015,comercial,0,72.487424576,89.975456237793,2791.501953125,,
1603,0101000020E6100000A8085172999F53C08658BCD4C1B3BFBF,-78.4937406340929,-0.123836626470025,f,,C11-RO01,10894.992536077,18.253321695,2,primary,4453.785148961,0,4384.375449643,1,29.653647619,1,28.435043404,0,867.106664919,0,332.12768022,10.520446763,0,73.866857648,0,163.793154679,0,610.323149069,0,117.431993654,0,1357.085012815,0.532700652,0,380.794202546,comercial,0,92.746974954,89.9758911132812,2798.16528320312,,
1604,0101000020E6100000EDCE4443999F53C05ED3C3AB723DBFBF,-78.4937294170338,-0.122031371054459,f,,C11-RO01,11092.461999298,135.827130465,0,primary,4650.457092903,0,4582.390701829,4,11.578620728,0,175.122822542,0,797.578043562,0,256.819943975,11.538372997,0,74.495409386,0,159.139733619,0,811.042564543,0,235.892711304,0,1271.539806626,0.413630429,0,227.507335441,comercial,0,111.321457701,89.9840240478516,2793.49853515625,,
1605,0101000020E6100000CD2BB83F999F53C096503E976DEAC9BF,-78.4937285707994,-0.202466677522015,f,,C17-RO01,2830.866557265,57.190044341,0,residential,153.190605237,0,6.402098382,0,102.432256193,1,15.472541327,0,857.948682113,0,405.315492447,392.225849746,1,29.069118849,0,173.330900663,0,204.752622388,0.12602826058591,15.32545271,0,176.428636666,0.010728289,0,95.533563763,comercial,0,71.396311847,89.975456237793,2791.501953125,,
1606,0101000020E610000089C0E43F999F53C0D1E13D4A9B78BFBF,-78.4937286123187,-0.122934060693189,f,,C11-RO01,10993.838259679,38.681992238,1,primary,4551.931581606,0,4483.23336264,4,18.660495813,0,75.370938951,0,827.66886863,0,318.881709229,12.600734593,6,3.783981889,0,127.21488668,0,710.689309258,0,207.89324306,0,1311.818088728,0.096495141,0,296.723894684,comercial,0,69.88928076,89.9835052490234,2796.37329101562,,
1607,0101000020E610000045A2AA08999F53C0569753E62EEAC9BF,-78.4937154451701,-0.202459204162717,f,,C17-RO02,2832.495335141,58.818638759,0,residential,154.749133545,0,6.396114998,0,100.752766362,1,16.738015214,0,857.114738217,0,403.660844947,392.080230783,1,30.74631592,0,173.547881259,0,205.750680853,0.124185528683749,15.285601855,0,177.816989647,0.008196618,0,94.945686838,comercial,0,69.720972205,89.975456237793,2791.501953125,,
1608,0101000020E6100000A1C1123A989F53C09B29413DCA99C6BF,-78.4936661894958,-0.176568298253483,f,,C19-RO04,5255.041298586,223.88990822,0,primary,300.322067173,0,280.141801622,2,20.728196367,0,247.890965485,0,805.404524406,1,38.069049928,18.930456147,1,19.741839569,0,289.766107195,2,20.728196367,0,290.154691884,0,773.859268125,0.050833749,0,296.628420624,comercial,0,174.314317221,89.9926223754883,2825.521484375,,
1609,0101000020E6100000494BA434989F53C02297BAB05291C5BF,-78.4936648945269,-0.168497406285661,f,,C24-RO02,6091.439480492,491.112117188,0,residential,750.059474698,0,532.457761658,2,25.244360728,0,499.077372647,0,1006.72097693,0,474.885828816,480.564345231,0,308.259611375,1,17.901834062,0,452.573786931,0.252118539636193,0.77860575,0,639.331683441,258.144315378,0,450.762188647,res.alto consumo,0,424.257204866,89.9950637817383,2811.39453125,,
1610,0101000020E610000053046C09989F53C073B2CAE3B431CABF,-78.4936545901158,-0.20464192507406,f,,C04-RO02,2675.549935987,152.602344576,0,residential,159.640773946,0,3.787404715,0,61.32196341,0,246.577937564,0,1099.837094817,0,517.554133267,189.836934189,1,49.634437171,0,396.814175441,1,49.933956224,0,246.979986142,0,119.265632603,0.147176904,1,49.74470894,comercial,0,71.272841327,89.9642562866211,2793.20849609375,,
1611,0101000020E6100000EEC193A0979F53C04EC961673791C5BF,-78.4936295931763,-0.168494153480035,f,,C24-RO01,6093.102832057,488.010798901,0,residential,749.177327568,0,529.663245551,2,21.456754576,0,495.905857233,0,1003.968672319,0,473.188499017,478.199944877,0,304.5365107,1,14.314148453,0,448.642782361,0.233927573030868,1.057300633,0,635.498394805,256.761332619,0,447.763885132,res.alto consumo,0,420.69060975,89.9950637817383,2811.39453125,,
1612,0101000020E61000003926C9B4979F53C0764709FD8559C1BF,-78.4936344112729,-0.13554453711782,f,,C11-RO01,9621.828856569,17.645819701,1,primary,3185.089261777,0,3104.118555873,2,27.767385956,1,34.854368348,0,1464.953068572,0,692.281397882,13.293750272,10,5.080302735,0,297.644465189,2,27.767449403,0,348.793067306,0,960.048961879,0.951479145,0,537.785021088,res.medio consum,0,414.96418059,89.9822311401367,2818.71142578125,,
1613,0101000020E61000005C187785979F53C0C2506EBC2186C6BF,-78.4936231291808,-0.17596837712029,f,,C18-RO03,5318.37193066,289.737989214,0,primary,260.108631724,0,252.99777371,0,87.488954893,0,314.014774828,0,782.987668252,0,95.629119503,11.865417947,0,86.621166365,0,225.911031258,0,87.488954893,0,226.829761977,0,781.262497669,5.953261649,0,245.351896515,comercial,0,131.848670351,89.9931106567383,2826.95849609375,,
1614,0101000020E610000043DEFB57979F53C0E46FC59BA1F9C7BF,-78.4936122855807,-0.187305642185378,f,,C18-RO03,4184.772797727,297.728680164,0,residential,448.086626664,0,3.574200903,0,57.065831197,0,232.043127437,0,827.953582272,0,213.594226208,212.998381729,0,62.917110277,0,626.32495059,0,204.762187371,0.421301765335397,2.297074163,0,795.284862843,0.098748588,0,815.996922237,sin dato,0,75.885591493,89.9941711425781,2814.75244140625,,
